时装豪礼,Hào Lễ Thời Trang
"{""流鼻血"",""流鼻血"",""流鼻血"",""流鼻血""}","{""Chảy Máu Mũi"",""Chảy Máu Mũi"",""Chảy Máu Mũi"",""Chảy Máu Mũi""}"
<color=#FF8C00>获取途径：</color>\n<color=#00CCFF>【龙宫宝库】</color>,<color=#FF8C00>Cách nhận: </color>\n<color=#00CCFF>【Long Cung Bảo Khố】</color>
在太虚秘境中鼓舞累计50次,Tại Thái Hư Bí Cảnh tích lũy cổ vũ 50 lượt
1.3件<color=#ff3b3b>红色3星</color><color=#ff3b3b>青龙器灵</color>可合成\n2.带有强化器灵不可参与合成,1. 3 món <color=#ff3b3b>Đỏ 3 Sao</color><color=#ff3b3b> Thanh Long Khí Linh</color> có thể hợp thành\n2. Khí Linh cường hóa không thể tham gia hợp thành
搞比利,Ðạt Dũng
该神兽未激活,Thần Thú này chưa kích hoạt
地狱烘炉,Địa Ngục Hồng Lô
使用后可激活灵池仙境-礼包直购2888,Kích hoạt Linh Trì Tiên Cảnh-Gói Trực Tiếp 2888
九级坚盾宝石,Kiên Thuẫn Thạch Lv.9
剑阵升阶的道具\n\n剑阵达到10阶后可使用，可将10阶剑阵直接升阶为<color=#00ff00>11阶剑阵</color>\n\n超过11阶使用则获得262139点剑阵祝福值,"Đạo cụ thăng giai Kiếm Trận\n\nDùng sau khi Kiếm Trận đạt 10 giai, có thể thăng giai 10 Giai Kiếm Trận đến <color=#00ff00>11 Giai Kiếm Trận</color>\n\nVượt quá 11 giai dùng sẽ nhận 262139 Điểm Chúc Phúc Kiếm Trận"
时装·圣诞礼服,Thời Trang·Lễ Phục Giáng Sinh
无可分解材料,Chưa thể phân giải nguyên liệu
天枢护镫,Thiên Xu Bàn Đạp
神机状态下，100%的概率反弹100%伤害给所有攻击自己的玩家，同时对周围的敌对玩家减少20%的攻击，同时持续10秒。每天最多触发10次,"Trong trạng thái Thần Cơ, 100% tỉ lệ phản 100% sát thương sang mọi người chơi tấn công mình, đồng thời với người chơi địch xung quanh giảm 20% Công, đồng thời liên tục 10s. Mỗi ngày tối đa kích phát 10 lượt"
潮流之音,Trào Lưu Âm
当前为跨服场景，不可使用,"Hiện tại là trường cảnh liên server, không thể dùng"
完成豪杰任务（二）,Hoàn thành nhiệm vụ Hào Kiệt 2
天之骄子,Anh Tài Hào Kiệt
当前阶段已激活,Hiện Giai Đoạn đã kích hoạt
玄仙中期,Huyền Tiên-Trung
腾蛇毒龙魂,Đằng Xà Độc Long Hồn
"{""时刻提供贴心提示"",""提供助战输出"",""可处理多余装备""}","{""Cung cấp thông báo kịp thời"",""Cung cấp loại hình trợ chiến"",""Xử lý Trang Bị dư thừa""}"
通用,Thông Dụng
木傀儡,Mộc Quỷ Lỗi
使用后可增加法宝<color=#00ff00>100点攻击</color>\n\n可在<color=#00ff00>法宝界面</color>使用为法宝提升属性,Pháp Bảo tăng <color=#00ff00>100 điểm công</color>\n\nDùng tại <color=#00ff00>giao diện Pháp Bảo</color> tăng thuộc tính Pháp Bảo
对目标造成<color=#00ff00>170%</color>的伤害\n冷却时间：60秒,Với mục tiêu gây <color=#00ff00>170%</color> sát thương\nThời gian CD: 60s
对周围6个敌人造成1890%伤害，击晕主目标2秒，并降低目标20%防御，持续5秒，冷却40秒,"Với 6 địch xung quanh gây 1890% sát thương. Choáng mục tiêu chính 2s, và giảm của mục tiêu 20% thủ, liên tục 5s, CD 40s"
无上掌门,Vô Thượng Chưởng Môn
星罗棋布·血焱,Tinh La Kỳ Bố·Huyết Diễm
1.3件<color=#ff3b3b>10阶红色3星项链</color>+<color=#ff3b3b>混沌神石*6</color>可合成,1. 3 món <color=#ff3b3b>10 Giai Đỏ Liên 3 Sao</color>+<color=#ff3b3b>Hỗn Độn Thần Thạch*6</color> có thể hợp thành
仙盟红包,Lì Xì Tiên Minh
神龙圣印 316级,Thần Long Thánh Ấn Cấp 316
逍遥,Tiêu Dao
仙道会挑战6次,Tiên Đạo Hội khiêu chiến 6 lượt
裂天仙诀神图,Liệt Thiên Tiên Quyết Thần Đồ
剑灵,Linh Kiếm
九幽炼狱副本使用绑元找回的奖励,Thưởng dùng KNB khóa của phụ bản Cửu U Luyện Ngục
"{""解锁多种智慧阵法化形"",""专属技能效果"",""强力攻击属性加成""}","{""Mở khóa nhiều Trận Pháp Trí Tuệ Hóa Hình"",""Hiệu quả kỹ năng riêng"",""Thuộc tính công mạnh""}"
死亡已经盯上了你，持续时间结束后，你会立即死亡,"Sau khi thời gian liên tục kết thúc, bạn sẽ lập tức tử vong"
符咒精华宝盒,Hộp Tình Hoa Phù CHú
技能·万佛朝宗,Kỹ Năng· Vạn Phật Triều Tông
神龙圣印 526级,Thần Long Thánh Ấn Cấp 526
飞行竞速活动已经开启，快去参加活动吧！！！,"Thi Phi Hành đã mở, mau đến tham gia!"
"{""荆棘暗影"",""荆棘暗影"",""荆棘暗影"",""荆棘暗影""}","{""Kinh Cức Ám Ảnh"",""Kinh Cức Ám Ảnh"",""Kinh Cức Ám Ảnh"",""Kinh Cức Ám Ảnh""}"
穿戴1件神装,Mặc 1 Bộ Thần Trang
李靖5件套+20,Lý Tịnh 5 món+20
在阵营前线击杀5个敌方阵营的成员,Ở tiền tuyến Trận Doanh kích sát 5 thành viên Trận Doanh địch
打开道具后随机掉落一件<color=#00ff00>7阶红色二星饰品</color>,Ngẫu nhiên rơi 1 món <color=#00ff00>7 Giai Đỏ Trang Sức 2 Sao</color>
冰霜剑,Băng Sương Kiếm
无上风光剑,Vô Thượng Phong Quang Kiếm
荣耀庆典,Lễ Hội Vinh Dự
十三阶以下,13 Giai trở xuống
职业2技能6CD减少,Giảm 6s CD Kỹ Năng Nghề Nghiệp 2
自动为您出售了背包中的蓝色装备，白色装备，获得了$1。并且为您整理了背包,"Tự động giúp bạn bán Trang Bị trắng, lam trong túi đồ, nhận $1. Đồng thời giúp chỉnh lý túi đồ"
顶级提升1000000生命，25000防御,"Đầy cấp tăng 1000000 HP, 25000 Thủ"
FB分享,Chia Sẻ Facebook
攻击时，对目标周围最多3个目标造成200%+24000伤害，如果目标为BOSS时，则追加120%的伤害，每10分钟释放1次,"Với nhiều nhất 3 địch xung quanh mục tiêu tấn công gây ra 200%+24000 sát thương. Mục tiêu là BOSS, thêm 120% sát thương. Mỗi 10ph thi triển 1 lần"
微笑傷人,Hồng Lân
熾火雪舞小,Ðức Long
每秒回复自身3.2%的生命，持续5秒,"Mỗi giây hồi 3.2% HP, liên tục 5s"
<color=#03ff57>使用《元素护盾奥义》可以激活本技能，本技能可通过仙术突破逐层提升效果。</color>,<color=#03ff57>Dùng《Bí Kíp Nguyên Tố Hộ Thuẫn》sẽ kích hoạt kỹ năng. Có thể dùng Tiên Thuật để đột phá nâng hiệu quả kỹ năng.</color>
"这些由恶魔制作的圣器得小心使用.镶嵌后,触发生命汲取时,不再为对方回复生命值.","Sau khi khảm, khi kích phát Sinh Mệnh Cấp Thủ, không còn hồi điểm HP cho đối phương."
会心抵抗+0.5%，生命+5000，防御+250,"Kháng Hội Tâm +0.5%, HP +5000, Thủ +250"
当日游戏时长已达上限，无法进入游戏,"Thời gian chơi đạt giới hạn, không thể vào game"
当灵宠生命低于30%时，暴击率增加30%，并每次攻击额外造成30%的伤害,"Khi HP Linh Sủng dưới 30%, tỉ lệ bạo tăng 30%, và mỗi lượt tấn công gây thêm 30% sát thương"
仙童经验,EXP Tiên Đồng
云霄·鹤鸣云端,Vân Tiêu·Hạc Minh Vân Đoan
特权奖励\n<color=#00ff00>扩展兽囊空间，可以同时携带7只宠物</color>\n\n属性激发：<color=#00ff00>\n战力+26000\n生命+13000\n攻击+650\n防御+650\n破甲+650\n特殊属性：真气防御加成+10%\n\n</color>灵宠奖励：<color=#00ff00>\n宠物吉利鸡</color>,"Thưởng đặc quyền\n<color=#00ff00>Mở rộng không gian Thú Nang, được đồng thời đem theo 7 sủng vật </color>\n\nThuộc tính: <color=#00ff00>\nChiến lực +26000\nHP +13000\nCông +650\nThủ +650\nPhá giáp +650\nT.Tính đặc biệt: Tăng Thủ Chân Khí +10%\n\n</color>Thưởng Linh Sủng: <color=#00ff00>\nSủng Vật Cát Lợi Kê</color>"
提升主人500点暴击,Tăng cho chủ nhân 500 điểm Bạo
治疗光环每秒的回复效果额外增加自身攻击力的5%,Quang Hoàn Trị Liệu hiệu quả hồi phục mỗi giây tăng thêm 5% Công bản thân
"{""郎才女貌"",""郎才女貌"",""郎才女貌"",""郎才女貌""}","{""Lang Tài Nữ Mạo"",""Lang Tài Nữ Mạo"",""Lang Tài Nữ Mạo"",""Lang Tài Nữ Mạo""}"
主线67,N.Vụ Chính 67
第48重,Tầng 48
道天杖·红炎,Đạo Thiên Trượng·Hồng Viêm
映春鸾剑,Ánh Xuân Loan Kiếm
增加雷震子变身时间7秒,Tăng thời gian biến thân Lôi Chấn Tử 7s
"{""鸟语花香"",""鸟语花香"",""鸟语花香"",""鸟语花香""}","{""Vườn Hoa"",""Vườn Hoa"",""Vườn Hoa"",""Vườn Hoa""}"
"{""封神宝库""}","{""Phong Thần Bảo Khố""}"
神王试炼(五十六),Thí Luyện Thần Vương 56
家喻户晓,Nhà Nhà Đều Biết
集齐100个碎片可激活乾天烁日玺；\n激活后增加：\n<color=#00ff00>生命+159170</color>\n<color=#00ff00>攻击+7950</color>\n<color=#00ff00>防御+3970</color>\n<color=#00ff00>破甲+3970</color>\n<color=#FF0000>PVP伤害+0.5%</color>\n战力增加<color=#00ff00>238490</color>；\n\n满级满星增加：<color=#00ff00>生命+2783030</color>\n<color=#00ff00>攻击+139140</color>\n<color=#00ff00>防御+69590</color>\n<color=#00ff00>破甲+69590</color>\n<color=#FF0000>PVP伤害+3%</color>\n战力增加<color=#00ff00>4174720</color>；,"Đủ 100 mảnh sẽ kích hoạt Càn Thiên Thước Nhật Tỉ; \nThuộc tính: \n<color=#00ff00>HP +159170</color>\n<color=#00ff00>Công +7950</color>\n<color=#00ff00>Thủ +3970</color>\n<color=#00ff00>Phá giáp +3970</color>\n<color=#FF0000>S.Thg PVP +0.5%</color>\nChiến lực tăng <color=#00ff00>238490</color>; \n\nĐầy cấp, đầy sao tăng: <color=#00ff00>HP +2783030</color>\n<color=#00ff00>Công +139140</color>\n<color=#00ff00>Thủ +69590</color>\n<color=#00ff00>Phá giáp +69590</color>\n<color=#FF0000>S.Thg PVP +3%</color>\nChiến lực tăng <color=#00ff00>4174720</color>;"
<color=$1>暴击伤害增加</color><color=$2>18</color><color=$1>%</color>,<color=$1>S.Thg Bạo tăng </color><color=$2>18</color><color=$1>%</color>
永久属性加成,Thuộc tính vĩnh viễn
锁妖塔第211层,Tỏa Yêu Tháp Tầng 211
怒火狂战,Nộ Hỏa Cuồng Chiến
虎尾鞭仙图,Hổ Vĩ Tiên Tiên Đồ
使用后直升<color=#00ff00>VIP3</color>，尊享多项特权：\n专属BUFF，攻击<color=#00ff00>+200</color>，防御<color=#00ff00>+100</color>杀怪经验<color=#00ff00>+30%</color>\n方便快捷，无限免费传送\n专属BOSS，巢穴BOSS<color=#00ff00>一</color>层\n增加<color=#00ff00>3</color>天VIP时长。\n\n<color=#00ff00>299</color>元宝可购买<color=#00ff00>至尊VIP·月度卡</color>\n直升VIP4，尊享高达9项特权：\n专属称号，战斗力提升<color=#00ff00>4000</color>\n专属BUFF，攻击<color=#00ff00>+400</color>，防御<color=#00ff00>+150</color>杀怪经验<color=#00ff00>+30%</color>\n掉落加成，所有稀有物品掉率增加<color=#00ff00>10%</color>\n每天领取<color=#00ff00>绑元*20，装备寻宝钥匙*1，灵兽丹*7，100万铜钱*1</color>\n增加10天VIP时长，获得相应VIP经验,"Dùng thăng đến <color=#00ff00>VIP3</color>, hưởng nhiều mục đặc quyền: \nTăng thuộc tính, công <color=#00ff00>+200</color>, thủ <color=#00ff00>+100</color>EXP diệt quái <color=#00ff00>+30%</color>\nnhanh nhẹn thuận tiện, dịch chuyển miễn phí vô hạn\nBOSS Riêng, BOSS Sào Huyệt tầng <color=#00ff00>1</color>\nThời gian VIP tăng <color=#00ff00>3</color> ngày. \n\n<color=#00ff00>299</color>KNB có thể mua <color=#00ff00>VIP Chí Tôn·Thẻ Tháng</color>\nTăng đến VIP4, hưởng 9 mục đặc quyền: \nDanh hiệu riêng, chiến lực tăng <color=#00ff00>4000</color>\nTăng thuộc tính, công <color=#00ff00>+400</color>, thủ <color=#00ff00>+150</color>EXP diệt quái <color=#00ff00>+30%</color>\nTăng tỉ lệ rơi, tỉ lệ tất cả vật phẩm hiếm tăng <color=#00ff00>10%</color>\nMỗi ngày nhận <color=#00ff00>KNB Khóa*20, Chìa Khóa Trang Bị Tầm Bảo*1, Linh Thú Đan*7, 100 Vạn Bạc*1</color>\nThời gian VIP tăng 10 ngày, nhận EXP VIP tương ứng"
百万称号-98,Bách Vạn Danh hiệu-98
境界达到元婴中期，领取$2战力,"Cảnh Giới đạt Nguyên Anh Trung, nhận $2 Lực Chiến"
山岳猿王普攻,Sơn Nhạc Viên Vương phổ công
惊喜砸蛋：充值豪礼,Đập Trứng Vui Vẻ: Hào Lễ Nạp
不败·绝世剑圣,Bất Bại·Tuyệt Đại Kiếm Thánh
玄武3件套+5,Huyền Vũ 3 món+5
获得极品装备、仙翼,"Nhận Trang Bị Cực Phẩm, Tiên Dực"
锁妖塔64层开启,Tỏa Yêu Tháp tầng 64 sẽ mở
神兽变身伤害加深,Gia Tăng Sát Thương Thần Thú Biến Thân
功能描述18,Mô tả tính năng 18
Loc淚印,Hiệp Hiền
1.2件<color=#ff3b3b>16阶神装玉佩+圣装玉佩</color>可合成,1. 2 món <color=#ff3b3b>16 Giai Thần Trang Bội+Thánh Trang Bội</color> có thể hợp thành
降妖除魔（七）,Hàng Yêu Trừ Ma 7
破灭之意,Phá Diệt Ý
开启可选择：<color=#00ff00>\n橙色破甲*1 橙色闪避*1 \n橙色经验*1 橙色命中*1 \n橙色防御*1 橙色坚盾*1 \n橙色卸甲*1 橙色天罡*1 \n橙色攻击*1 橙色生命*1 \n橙色守护*1 橙色锋芒*1 </color>,Chọn: <color=#00ff00>\nPhá giáp Cam*1 Né Cam*1 \nEXP Cam*1 Trúng Cam*1 \nThủ Cam*1 Kiên Thuẫn Cam*1 \nTá Giáp Cam*1 Thiên Cương Cam*1 \nCông Cam*1 HP Cam*1 \nThủ Hộ Cam*1 Phong Mang Cam*1 </color>
对目标造成545%的雷属性伤害+其他属性伤害,Với mục tiêu gây 545% T.Tính Lôi-S.Thg+sát thương thuộc tính khác
鱼龙变 尾,Ngư Long Biến Vĩ
1.玩家在活动开启期间，可通过存入元宝来增加对应的收益\n2.<color=#0ab521>每次可存200元宝，最高可存2000元宝</color>的本金，每日可以增加20%利率，即日可领取对应的利率元宝\n3.本金返还，在活动期间可通过点击取回按钮，手动领回本金\n4.如玩家没有及时领取到本金，会通过<color=#0ab521>下次活动开启</color>，以邮件发还给予到玩家,"1. Người chơi trong thời gian mở hoạt động, có thể thông qua lưu trữ KNB để tăng lợi ích tương ứng\n2. Tiền vốn <color=#0ab521>mỗi lượt có thể lưu 200 KNB, cao nhất có thể lưu 2000 KNB</color>, mỗi ngày có thể tăng 20% lãi, tức là trong ngày được nhận KNB lãi tương ứng\n3. Phản lại tiền vốn, trong thời gian hoạt động có thể nhấn nút lấy về, thủ công nhận lại tiền vốn\n4. ·Nếu người chơi không nhận tiền vốn kịp thời, sẽ thông qua <color=#0ab521>lần mở hoạt động tiếp theo</color>, gửi qua thư cho người chơi"
混元伞撒下一片星光，在范围内对自己和队友持续少量回血，对最多6个敌人持续少量伤害，持续6秒,"Hỗn Nguyên Tản rắc tinh quang, liên tục hồi ít máu cho mình và đồng đội trong phạm vi, tấn công tối đa 6 địch liên tục gây ít sát thương. Liên tục 6s"
紫电魔龙 角,Tử Điện Ma Long Giác
无可出售装备,Không có Trang Bị để bán
13阶彩首饰自选,13 Giai 7 Màu Thủ Sức Tự Chọn
寒冰神武,Hàn Băng Thần Võ
"{""落英缤纷"",""落英缤纷"",""落英缤纷"",""落英缤纷""}","{""Hoa Rơi"",""Hoa Rơi"",""Hoa Rơi"",""Hoa Rơi""}"
动作·鼓掌,Động Tác·Vỗ Tay
开服第$1天开启（当前第$2天）,Mở server ngày $1 mở (Hiện tại ngày $2)
全民赶年兽，欢乐闹五一！,"Toàn dân đón Niên Thú, vui vẻ đón 1.5！"
",并免费赠送",", đồng thời tặng miễn phí"
活动期间累计充值达到<color=#24ba00>$1/980</color>可领取,Tích nạp đạt <color=#24ba00>$1/980</color> nhận
神皇剑阵,Thần Hoàng Kiếm Trận
过目不忘·初,Nhìn Là Nhớ Mãi·Sơ
<color=#ff3b3b>红色</color>,<color=#ff3b3b>Đỏ</color>
彩鸟死亡,Thái Điểu tử vong
"1.BOSS分为<color=#0ab521>怨灵、亡灵</color>,对应不同的难度和不同的奖励,难度越高,奖励越好；\n2.BOSS血量庞大,攻击强悍,需要<color=#0ab521>多人配合</color>讨伐,可以<color=#0ab521>召集本联盟成员</color>前往抢夺BOSS归属,对BOSS造成<color=#0ab521>伤害最高的联盟</color>可获得归属权,当BOSS持续<color=#0ab521>5分钟</color>未受到伤害,将清除BOSS的伤害记录和归属；\n3.BOSS击杀后,所有<color=#0ab521>参与击杀BOSS</color>的玩家都可以获得<color=#0ab521>伤害排名奖励、联盟拍卖品分红</color>,击杀BOSS可以获得<color=#0ab521>尾刀奖励</color>,在每只boss血量降到70%、30%的时候,会触发幸运奖励摇奖,点数最高者可获得<color=#0ab521>幸运奖励</color>；\n4.BOSS死亡后,将产生<color=#0ab521>联盟拍卖品</color>,伤害越高的联盟产生的拍品越多,拍品卖出后参与玩家可获得分红,<color=#0ab521>获得归属的联盟</color>还可获得专属的<color=#0ab521>珍稀拍品</color>；\n5.每天<color=#0ab521>凌晨0点-8点</color>战域前线关闭期间,<color=#0ab521>未击杀的BOSS将会被系统清除</color>。","1. BOSS chia thành <color=#0ab521>Oán Linh, Vong Linh</color>, độ khó tương ứng khác nhau và thưởng khác nhau, độ khó càng cao thưởng càng tốt; \n2. HP BOSS cực lớn, tấn công mạnh mẽ, cần <color=#0ab521>nhiều người kết hợp</color> thảo phạt, có thể <color=#0ab521> triệu tập thành viên trong Liên Minh </color> đến tranh đoạt sở hữu BOSS, <color=#0ab521>Liên Minh sát thương cao nhất</color> gây cho BOSS được nhận quyền sở hữu, khi BOSS liên tiếp <color=#0ab521>5p</color> không nhận sát thương, sẽ xóa lịch sử sát thương và sở hữu BOSS; \n3. Sau khi kích sát BOSS, tất cả người chơi <color=#0ab521> tham gia kích sát BOSS</color> đều được nhận <color=#0ab521> thưởng xếp hạng sát thương, hoa hồng vật đấu giá Liên Minh</color>, kích sát BOSS được nhận <color=#0ab521>thưởng đòn cuối</color>, khi HP mỗi BOSS giảm đến 70%, 30%, sẽ kích phát quay thưởng may mắn, người điểm số cao nhất nhận <color=#0ab521>thưởng may mắn</color>; \n4. Sau khi BOSS tử vong, sẽ sảnh sinh <color=#0ab521>vật đấu giá Liên Minh</color>, Liên Minh sát thương càng cao vật đấu giá sản sinh càng nhiều, sau khi bán vật đấu giá người chơi tham gia được nhận hoa hồng,<color=#0ab521>Liên Minh nhận sở hữu</color> còn được nhận <color=#0ab521>vật đấu giá hiếm</color> riêng; \n5. <color=#0ab521>0h-8h sáng</color> hàng ngày là thời gian đóng Chiến Vực Tiền Tuyến, <color=#0ab521>BOSS chưa kích sát sẽ bị hệ thống xóa bỏ</color>."
